"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"36","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","57","Local variable 'option' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"37","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","73","Parameter 'community' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"38","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","73","Parameter 'pdu' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"39","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","74","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"40","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","78","Parameter 'pdu' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"41","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","83","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"42","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","99","Avoid variables with short names like e","Naming Rules","ShortVariable"
"43","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","99","Local variable 'e' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"44","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","108","Avoid variables with short names like e","Naming Rules","ShortVariable"
"45","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","108","Local variable 'e' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"46","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentConsumer.java","3","127","Local variable 'exchange' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"47","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","4","19","Avoid unused imports such as 'java.util'","Type Resolution Rules","UnusedImports"
"48","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","33","Do not hard code IPv4 or IPv6 addresses, even 127.0.0.1 !","Basic Rules","AvoidUsingHardCodedIP"
"49","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","38","Avoid excessively long variable names like authenticationProtocol","Naming Rules","LongVariable"
"50","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","39","Avoid excessively long variable names like authenticationPassword","Naming Rules","LongVariable"
"51","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","54","Parameter 'nodeIpaddress' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"52","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","69","Parameter 'port' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"53","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","84","Parameter 'community' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"54","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","99","Parameter 'version' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","114","Parameter 'sourceType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"56","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","129","Avoid excessively long variable names like authenticationProtocol","Naming Rules","LongVariable"
"57","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","144","Avoid excessively long variable names like authenticationPassword","Naming Rules","LongVariable"
"58","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","178","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"59","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","178","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"60","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","186","Local variable 'value' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"61","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","204","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"62","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","204","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"63","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","208","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"64","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","208","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"65","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentEndpoint.java","3","224","Local variable 'exchange' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"66","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","4","21","Avoid unused imports such as 'org.slf4j.Logger'","Type Resolution Rules","UnusedImports"
"67","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","4","21","Avoid unused imports such as 'org.slf4j.Logger'","Type Resolution Rules","UnusedImports"
"68","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","4","22","Avoid unused imports such as 'org.slf4j.LoggerFactory'","Type Resolution Rules","UnusedImports"
"69","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","4","22","Avoid unused imports such as 'org.slf4j.LoggerFactory'","Type Resolution Rules","UnusedImports"
"70","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","4","24","Avoid unused imports such as 'com.adventnet.snmp.snmp2.SnmpPDU'","Type Resolution Rules","UnusedImports"
"71","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","4","24","Avoid unused imports such as 'com.adventnet.snmp.snmp2.SnmpPDU'","Type Resolution Rules","UnusedImports"
"72","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","34","Avoid unused private fields such as 'endpoint'.","Unused Code Rules","UnusedPrivateField"
"73","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","34","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"74","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","34","Perhaps 'endpoint' could be replaced by a local variable.","Design Rules","SingularField"
"75","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","34","Private field 'endpoint' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"76","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","35","Parameter 'endpoint' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"77","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","40","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"78","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","40","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"79","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","40","Document empty method","Design Rules","UncommentedEmptyMethod"
"80","com.ericsson.oss.mediation.fm.component","src/main/java/com/ericsson/oss/mediation/fm/component/SnmpSupervisionComponentProducer.java","3","40","Parameter 'exchange' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"81","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSupervisionMessageHeaders.java","3","20","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"82","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSupervisionMessageHeaders.java","3","26","Avoid excessively long variable names like SNMPSU_AUTHENTICPROTOCOL","Naming Rules","LongVariable"
"83","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSupervisionMessageHeaders.java","3","27","Avoid excessively long variable names like SNMPSU_AUTHENTICATIONPASSWORD","Naming Rules","LongVariable"
"84","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSupervisionMessageHeaders.java","3","28","Avoid excessively long variable names like SNMPSU_PRIVACYPROTOCOL","Naming Rules","LongVariable"
"85","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSupervisionMessageHeaders.java","3","29","Avoid excessively long variable names like SNMPSU_PRIVACYPASSWORD","Naming Rules","LongVariable"
"86","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSupervisionMessageHeaders.java","3","34","Avoid excessively long variable names like SNMPSU_HEARTBEATTIMEOUT","Naming Rules","LongVariable"
"87","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSynchMessageHeadres.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"88","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSynchMessageHeadres.java","3","9","Avoid excessively long variable names like SNMPSU_AUTHENTICATIONPROTOCOL","Naming Rules","LongVariable"
"89","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSynchMessageHeadres.java","3","10","Avoid excessively long variable names like SNMPSU_AUTHENTICATIONPASSWORD","Naming Rules","LongVariable"
"90","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSynchMessageHeadres.java","3","11","Avoid excessively long variable names like SNMPSU_PRIVACYPROTOCOL","Naming Rules","LongVariable"
"91","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSynchMessageHeadres.java","3","12","Avoid excessively long variable names like SNMPSU_PRIVACYPASSWORD","Naming Rules","LongVariable"
"92","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/DPSynchMessageHeadres.java","3","16","Avoid excessively long variable names like SNMPSU_HEARTBEATTIMEOUT","Naming Rules","LongVariable"
"93","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","3","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"94","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","3","The class 'MMCSpecificProblem' has a Cyclomatic Complexity of 47 (Highest = 46).","Code Size Rules","CyclomaticComplexity"
"95","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","3","Too many fields","Code Size Rules","TooManyFields"
"96","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","5","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"97","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","1","5","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"98","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","6","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"99","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","1","6","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"100","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","7","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"101","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","1","7","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"102","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","8","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"103","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","1","8","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"104","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","9","The field name indicates a constant but its modifiers do not","Naming Rules","SuspiciousConstantFieldName"
"105","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","1","9","Variables should start with a lowercase character","Naming Rules","VariableNamingConventions"
"106","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","28","Avoid excessively long variable names like mmsCmSystemOpState","Naming Rules","LongVariable"
"107","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","29","Avoid excessively long variable names like mmsCmSystemAdState","Naming Rules","LongVariable"
"108","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","1","38","Method names should not start with capital letters","Naming Rules","MethodNamingConventions"
"109","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","38","Parameter 'alId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"110","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","38","The method 'GetSpecificProblem' has a Cyclomatic Complexity of 46.","Code Size Rules","CyclomaticComplexity"
"111","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","40","Avoid variables with short names like SP","Naming Rules","ShortVariable"
"112","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","40","Found 'DD'-anomaly for variable 'SP' (lines '40'-'43').","Controversial Rules","DataflowAnomalyAnalysis"
"113","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","41","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"114","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","41","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"115","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","43","Found 'DD'-anomaly for variable 'SP' (lines '43'-'47').","Controversial Rules","DataflowAnomalyAnalysis"
"116","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","45","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"117","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","45","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"118","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","47","Found 'DD'-anomaly for variable 'SP' (lines '47'-'51').","Controversial Rules","DataflowAnomalyAnalysis"
"119","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","3","49","Position literals first in String comparisons","Design Rules","PositionLiteralsFirstInComparisons"
"120","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","51","Found 'DD'-anomaly for variable 'SP' (lines '51'-'55').","Controversial Rules","DataflowAnomalyAnalysis"
"121","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","55","Found 'DD'-anomaly for variable 'SP' (lines '55'-'59').","Controversial Rules","DataflowAnomalyAnalysis"
"122","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","59","Found 'DD'-anomaly for variable 'SP' (lines '59'-'63').","Controversial Rules","DataflowAnomalyAnalysis"
"123","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","63","Found 'DD'-anomaly for variable 'SP' (lines '63'-'67').","Controversial Rules","DataflowAnomalyAnalysis"
"124","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","67","Found 'DD'-anomaly for variable 'SP' (lines '67'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"125","com.ericsson.oss.mediation.translator.constant","src/main/java/com/ericsson/oss/mediation/translator/constant/MMCSpecificProblem.java","5","71","Found 'DD'-anomaly for variable 'SP' (lines '71'-'75').","Controversial Rules","DataflowAnomalyAnalysis"
